,competitors,score,actual_placement,adjusted_score,adjusted_placement
0,Mathew Fraser,434,1,472.39309760352995,2
1,Noah Ohlsen,499,2,510.3697438518243,1
2,Björgvin Karl Guðmundsson,418,3,454.728006647392,3
3,Scott Panchik,425,4,450.1957453434143,4
4,James Newbury,388,5,401.9609204288366,9
5,Jacob Heppner,384,6,406.11683950208885,8
6,Matt Mcleod,401,7,417.30531998678845,7
7,Adrian Mundwiler,372,8,380.47821734516083,11
8,Saxon Panchik,387,9,424.08266982150013,6
9,Will Moorad,405,10,437.20117797003456,5
10,Cole Sager,368,11,396.9575653392861,10
11,Travis Mayer,368,12,365.1510434339573,15
12,Samuel Kwant,349,13,379.4316555671309,12
13,Logan Collins,340,14,376.6887483610838,13
14,Chandler Smith,329,15,372.011669875764,14
15,Patrick Vellner,322,16,339.28971174507126,17
16,Lukas Högberg,319,17,331.22455168606194,18
17,Joshua Wichtrup,315,18,359.58866973127306,16
18,Elliot Simmonds,303,19,323.2137750208555,19
19,Casper Gammelmark,251,20,271.9261674125565,25
20,Willy Georges,245,21,292.8176719044589,20
21,Connor Duddy,244,22,290.2260319678003,23
22,Brent Fikowski,243,23,290.27872330757384,22
23,Sean Sweeney,236,24,290.7052299100069,21
24,Alex Vigneault,233,25,267.2602066766989,26
25,Michael Smith,224,26,273.4901879962001,24
26,Ant Haynes,218,27,244.39414583574717,31
27,Ben Smith,217,28,232.384813046297,35
28,Jason Smith,216,29,245.803885159092,30
29,Ryan Sowder,208,30,253.34579645858986,27
30,Uldis Upenieks,194,31,241.78915243266755,32
31,George Sterner,194,32,246.26175080371678,29
32,Jeffrey Adler,193,33,220.8969509657121,36
33,Lukas Esslinger,191,34,246.74131007141534,28
34,Samuel Cournoyer,186,35,236.6527131209457,34
35,Dean Linder-Leighton,170,36,220.2756230844364,37
36,Jonne Koski,165,37,211.0436097767152,40
37,Eric Carmody,160,38,213.4923315664234,39
38,Jason Carroll,159,39,237.59423174002774,33
39,Nicolay Billaudel,154,40,217.2541462395477,38
40,Nick Bloch,116,41,148.73539583882632,42
41,Bronislaw Olenkowicz,112,42,128.0791722775501,47
42,Arminas Balevicius,108,43,153.90317823953555,41
43,Mohamed Elomda,100,44,135.71741510518655,45
44,Simon Mäntylä,99,45,142.630899189803,43
45,John-Paul Hethcock,92,46,136.34875499796527,44
46,Aleks Koštomaj,90,47,112.71331666120939,48
47,Gábor Török,86,DQ,132.44810227681717,46
48,Guilherme Malheiros,74,48,109.7013661195423,49
49,Agustin Richelme,66,49,78.48153480425673,50
50,Bryan Hernández,53,50,75.57921562527919,52
51,Alban Dubois,49,51,56.00358326842044,57
