,competitors,score,actual_placement,adjusted_score,adjusted_placement
0,Mathew Fraser,656,1,611.1522309711286,1
1,Noah Ohlsen,488,2,485.0802226064926,2
2,Justin Medeiros,480,3,479.753612822146,3
3,Samuel Kwant,449,4,467.24450525565874,4
4,Jeffrey Adler,420,5,412.81860630347705,11
5,Chandler Smith,418,6,435.83531324359006,8
6,Jonne Koski,410,7,445.9210610876932,6
7,Björgvin Karl Guðmundsson,406,8,428.2991856094813,9
8,Patrick Vellner,405,9,449.02128608857316,5
9,Samuel Cournoyer,395,10,438.19999099187163,7
10,Bayden Brown,382,11,403.17218090084043,12
11,Jacob Heppner,344,12,395.89541400054065,14
12,Roman Khrennikov,342,13,419.86568298437714,10
13,Tim Paulson,327,14,393.7298295480413,17
14,Brent Fikowski,323,15,397.23116655514195,13
15,Alexandre Caron,321,16,383.47175415282027,20
16,Scott Tetlow,320,17,325.94772723652824,25
17,Jay Crouch,320,18,394.59932466613714,15
18,Travis Mayer,314,19,390.60179991172,18
19,Cole Sager,314,20,393.82066139459766,16
20,Saxon Panchik,305,21,383.5716325790048,19
21,Luke Schafer,261,22,344.40048186554714,22
22,Brandon Luckett,246,23,347.45341877099696,21
23,Tyler Christophel,235,24,339.6020738165095,23
24,Griffin Roelle,230,25,336.8930821356881,24
25,Khan Porter,213,26,316.3387786917212,26
26,Adam Davidson,202,27,287.66748711741576,27
27,Rogelio Gamboa,148,28,284.6064355794254,28
28,Pete Shaw,145,29,276.081884512576,29
29,David Shorunke,127,30,129.2448467826872,30
