,competitors,score,actual_placement,adjusted_score,adjusted_placement
0,Tia-Clair Toomey,1154,1,1207.959474171815,1
1,Laura Horvath,1090,2,1147.6767342133767,2
2,Katrin Tanja Davidsdottir,1020,3,1092.6040888041593,3
3,Kara Saunders,1006,4,1070.0437861714677,4
4,Annie Thorisdottir,866,5,971.8686505024125,5
5,Kari Pearce,834,6,956.6270468391508,6
6,Kristin Holte,820,7,927.1099278178593,7
7,Brooke Wells,818,8,894.9180066693758,8
8,Kristi Eramo,754,9,813.3603770244213,12
9,Cassidy Lance-Mcwherter,742,10,761.1447605930153,13
10,Jamie Greene,728,11,818.3941555550625,11
11,Tennil Beuerlein,712,12,839.0192908116948,10
12,Camille Leblanc-Bazinet,708,13,856.326965290099,9
13,Alessandra Pichelli,676,14,731.004460388954,14
14,Amanda Barnhart,670,15,681.2356073940286,18
15,Bethany Shadburne,666,16,691.8559685730173,17
16,Ehea Schuerch,634,17,666.961823488391,19
17,Mekenzie Riley,632,18,706.5947682118953,15
18,Carol-Ann Reason-Thibault,620,19,699.0348346009997,16
19,Madeline Sturt,580,20,622.4390639918256,21
20,Chyna Cho,570,21,602.5379745198045,22
21,Margaux Alvarez,522,22,589.9793268211804,25
22,Courtney Haley,498,23,624.6229044930523,20
23,Camilla Salomonsson Hellman,482,24,538.2259403660582,26
24,Chloe Gauvin-David,480,25,592.0357143347308,24
25,Oddrun Eik Gylfadottir,462,26,522.8108724412865,28
26,Rebecca Voigt,450,27,523.7287021743249,27
27,Whitney Gelin,416,28,449.0522623399178,30
28,Brista Mayfield,416,29,515.7889739120614,29
29,Meredith Root,396,30,420.81956129422076,34
30,Lauren Fisher,392,31,434.317238409953,32
31,Paige Semenza,372,32,416.41929674109826,35
32,Dani Horan,360,33,436.8445714165952,31
33,Brenda Castro,350,34,348.8623847779682,36
34,Stephanie Chung,204,35,136.46205701948045,39
35,Jennifer Smith,372,36,428.96576631814787,33
36,Ragnheiður Sara Sigmundsdottir,504,37,594.1949272506505,23
37,Justine Beath,144,38,237.40930167282252,37
38,Emily Bridgers,104,39,198.97336525544642,38
39,Michele Fumagalli,28,40,92.55891355383199,40
