,competitors,score,actual_placement,adjusted_score,adjusted_placement
0,Tia-Clair Toomey,521,1,480.385830258833,1
1,Kristin Holte,516,2,414.84240323379987,2
2,Jamie Greene,471,3,395.5617421141483,3
3,Katrin Tanja Davidsdottir,384,4,322.799992154306,7
4,Karissa Pearce,444,5,387.86010781146337,4
5,Haley Adams,411,6,348.14819908499805,5
6,Amanda Barnhart,376,7,280.7671289791399,15
7,Bethany Shadburne,399,8,284.8168549262639,13
8,Anna Fragkou,400,DQ,306.17908783508267,11
9,Thuridur Erla Helgadottir,401,9,334.5925749832865,6
10,Danielle Brandon,376,10,316.9986035888493,8
11,Annie Thorisdottir,370,11,308.6756427244093,10
12,Carolyne Prevost,365,12,309.74533624454614,9
13,Alessandra Pichelli,365,13,280.6610952201989,16
14,Laura Horvath,356,14,291.0464395456627,12
15,Brooke Wells,351,15,281.42159300732334,14
16,Carol-Ann Reason-Thibault,328,16,276.20128505748346,17
17,Samantha Briggs,318,17,217.32236216860815,22
18,Emily Rolfe,317,18,261.52090504589614,19
19,Ragnheiður Sara Sigmundsdottir,294,19,269.89708591980303,18
20,Emma McQuaid,255,20,221.1549726979766,21
21,Karin Freyová,254,21,224.32960912691067,20
22,Madeline Sturt,244,22,207.8043209522727,24
23,Meg Reardon,243,23,191.99179207016348,28
24,Feeroozeh Saghafi,237,24,195.55618824778492,27
25,Mekenzie Riley,228,25,209.7544766290328,23
26,Dani Speegle,226,26,205.42303492197834,25
27,Colleen Fotsch,222,27,187.82437001722082,30
28,Camilla Salomonsson Hellman,208,28,196.67801385096428,26
29,Courtney Haley,191,29,190.1140265943772,29
30,Paige Semenza,171,30,152.4659277192498,34
31,Emma Tall,168,31,150.66686995812745,36
32,Carrie Beamer,167,32,112.7764467148147,38
33,Carole Castellani,156,33,160.7686213154512,33
34,Lindsay Vaughan,152,34,172.43210970995364,31
35,Alessia Joy Wälchli,152,35,170.118694048824,32
36,Simona Quintana,141,36,147.85850723781974,37
37,Hanna Karlsson,132,37,106.98240319674021,39
38,Oddrún Eik Gylfadottir,125,38,88.29266178901841,40
39,Cheryl Nasso,122,39,52.212890088797906,47
40,Rachel Garibay,100,40,82.99307783131704,41
41,Michelle Merand,98,41,80.28022339484244,42
42,Ksenija Kecman,90,42,34.02516729801434,52
43,Katie Trombetta,89,DQ,59.4265899244198,44
44,Leonie Henrich,86,43,54.90970742158069,46
45,Carmen Bosmans,80,44,46.912222243673824,49
46,Jacqueline Dahlstrøm,77,45,152.23867839924793,35
47,Thelma Christoforou,74,46,26.81557027774639,54
48,Carol Colling-Romero,71,47,25.95616887926613,55
49,McKenzie Flinchum,69,48,66.09562472800165,43
50,Lisa Eble,54,49,44.31368762593736,50
51,Erin Vandendriessche,48,50,49.05718684831732,48
52,Anastasiya Ganina,46,51,22.51852476008517,58
53,Neyran Guneli,45,52,11.927375535627519,62
54,Brooke Haas,44,53,35.18611889923669,51
55,Brenda Castro,43,54,57.3717836829512,45
56,Emilia Leppanen,40,55,11.04297038015308,63
57,Sabrina Caron,36,56,10.601215730685396,65
58,Katelin Van Zyl,36,57,21.700248423550036,59
59,Ralitza Koterlitzova,35,58,10.601215730685396,64
60,Tamara Zulim,35,59,24.983750574329235,56
61,Maria Camila Quintero,34,60,31.64326452763663,53
62,Taylor Streid,32,61,17.67961623204097,60
63,Nicole Pettel,28,62,22.70705679497341,57
64,Renata Pimentel,28,63,10.158565224678654,66
65,Lyndsay Murray,27,64,9.276847638821408,67
66,Akiko Kamitani,26,65,9.276847638821408,68
67,Vera Valdez,21,66,6.6245280289371635,71
68,Jacky Schmitt,19,67,8.393338339886029,69
69,Kristen Lim,18,68,13.131603812563668,61
70,Vanessa Wagner,18,69,6.6245280289371635,72
71,Sanjana Sivasalapathi,18,70,7.0680743914829804,70
72,Ganna Almazova,17,71,6.184565092547601,73
73,Julie Hougård,15,72,5.742810443079918,76
74,Alice Mille,10,73,5.742810443079918,74
75,Marisol Umana,-1,74,5.742810443079918,75
76,Gabriela Miga?a,-2,75,5.742810443079918,77
77,Sara Alicia Fernandez Costas,-3,76,5.301055793612235,80
78,Sofia Bermeo,-4,77,5.301055793612235,78
79,Jessica Borg Ghigo,-5,78,5.301055793612235,79
80,Fernanda Saavedra,-6,79,4.859301144144553,81
81,Sona Karaskova,-7,80,4.859301144144553,82
82,Pasent Medhat,-8,81,4.417546494676856,83
83,Sheerly Bueno Reyes,-9,82,3.975791845209173,84
84,Cricel Castillo,-10,83,3.0922825462738075,85
85,Shahad Budebs,-11,84,3.0922825462738075,86
86,Anastassia Psenitsnaja,-12,85,2.6505278968061248,87
87,Citra Ramaniya,-13,86,1.3252639484030624,90
88,Hajer Jamal,-14,87,1.3252639484030624,88
89,Marian Khoury,-15,88,1.3252639484030624,89
90,Lara Erlank,-16,89,1.3252639484030624,91
91,Luaneth Alveo,-17,90,0.8835092989353797,100
92,Amira Ayob,-17,91,0.8835092989353797,101
93,Martha Berrocal,-17,92,0.8835092989353797,97
94,Oana Catalina Chelmus,-17,93,0.8835092989353797,93
95,Tatiana Diakou,-17,94,0.8835092989353797,92
96,Kira Oliver,-17,95,0.8835092989353797,94
97,Andrea Rodriguez,-17,96,0.8835092989353797,98
98,Melina Rodriguez,-17,97,0.8835092989353797,95
99,Dina Swift,-17,98,0.8835092989353797,99
100,Ava Zalman,-17,99,0.8835092989353797,96
101,Heidi Choi,-27,100,0.44175464946769694,107
